,artist,album_name,album_uri,track,release_date,id,song_uri,track_href,analysis_url,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
895,GIDLE,I burn,spotify:album:3ma5amx5s3l1NKoWNHaMYe,HWAA,2021-01-11,5FiXhM80sP4yg6tEnHkZZn,spotify:track:5FiXhM80sP4yg6tEnHkZZn,https://api.spotify.com/v1/tracks/5FiXhM80sP4yg6tEnHkZZn,https://api.spotify.com/v1/audio-analysis/5FiXhM80sP4yg6tEnHkZZn,audio_features,0.384,0.868,6.0,-3.226,0.0,0.0711,0.0458,5.82e-06,0.0797,0.233,95.027,197320,4
896,GIDLE,I love,spotify:album:2Hyuin3i1cSZ1FlQFeCPZH,Nxde,2022-10-17,6NnCWIWV740gP7DQ8kqdIE,spotify:track:6NnCWIWV740gP7DQ8kqdIE,https://api.spotify.com/v1/tracks/6NnCWIWV740gP7DQ8kqdIE,https://api.spotify.com/v1/audio-analysis/6NnCWIWV740gP7DQ8kqdIE,audio_features,0.726,0.91,4.0,-1.948,0.0,0.179,0.0413,7.81e-06,0.479,0.648,135.966,178453,4
897,GIDLE,I DO,spotify:album:62lN1efwf3MajWlzsSlYFN,I DO,2023-07-13,6SePnvTZkIXZznc8Ftc6vM,spotify:track:6SePnvTZkIXZznc8Ftc6vM,https://api.spotify.com/v1/tracks/6SePnvTZkIXZznc8Ftc6vM,https://api.spotify.com/v1/audio-analysis/6SePnvTZkIXZznc8Ftc6vM,audio_features,0.665,0.683,1.0,-4.419,0.0,0.0307,0.012,0.0,0.12,0.543,110.973,190114,4
898,GIDLE,HEAT,spotify:album:5CZQfva4He8sG3DcU8eP5m,I Want That,2023-10-04,3F2BLyGt6zYLrHYpbdTw5L,spotify:track:3F2BLyGt6zYLrHYpbdTw5L,https://api.spotify.com/v1/tracks/3F2BLyGt6zYLrHYpbdTw5L,https://api.spotify.com/v1/audio-analysis/3F2BLyGt6zYLrHYpbdTw5L,audio_features,0.8,0.87,0.0,-5.787,0.0,0.0832,0.0693,0.000584,0.0742,0.434,120.06,171667,4
899,GIDLE,I trust,spotify:album:57sl8AvqVqm4Fadre0z8FQ,Oh my god,2020-04-06,2DmRXiyn03tOqKgEJXlaiJ,spotify:track:2DmRXiyn03tOqKgEJXlaiJ,https://api.spotify.com/v1/tracks/2DmRXiyn03tOqKgEJXlaiJ,https://api.spotify.com/v1/audio-analysis/2DmRXiyn03tOqKgEJXlaiJ,audio_features,0.794,0.762,4.0,-3.525,0.0,0.0392,0.0358,1.41e-06,0.191,0.482,109.97,195867,4
900,GIDLE,I feel,spotify:album:3PQZnr5gf699uYEaGH93uG,Allergy,2023-05-15,38MKW2tQHtyO8djIOKlEFF,spotify:track:38MKW2tQHtyO8djIOKlEFF,https://api.spotify.com/v1/tracks/38MKW2tQHtyO8djIOKlEFF,https://api.spotify.com/v1/audio-analysis/38MKW2tQHtyO8djIOKlEFF,audio_features,0.591,0.92,5.0,-3.699,1.0,0.185,0.0524,0.0,0.0467,0.545,165.087,162787,4
901,GIDLE,HEAT,spotify:album:20iyYKtw1KjMRsMZWMPpVY,Eyes Roll,2023-10-05,79yymC6QQaZ81jR2UYcPfy,spotify:track:79yymC6QQaZ81jR2UYcPfy,https://api.spotify.com/v1/tracks/79yymC6QQaZ81jR2UYcPfy,https://api.spotify.com/v1/audio-analysis/79yymC6QQaZ81jR2UYcPfy,audio_features,0.792,0.826,2.0,-6.004,0.0,0.142,0.0807,0.0,0.0694,0.555,120.004,197667,4
902,GIDLE,HEAT,spotify:album:20iyYKtw1KjMRsMZWMPpVY,I Want That,2023-10-05,34pKV56b6d7Nz1l6av1nZ1,spotify:track:34pKV56b6d7Nz1l6av1nZ1,https://api.spotify.com/v1/tracks/34pKV56b6d7Nz1l6av1nZ1,https://api.spotify.com/v1/audio-analysis/34pKV56b6d7Nz1l6av1nZ1,audio_features,0.8,0.87,0.0,-5.787,0.0,0.0832,0.0693,0.000584,0.0742,0.434,120.06,171667,4
903,GIDLE,I trust,spotify:album:57sl8AvqVqm4Fadre0z8FQ,LION,2020-04-06,40OyiVO9NtBg9R2Gpwxs3u,spotify:track:40OyiVO9NtBg9R2Gpwxs3u,https://api.spotify.com/v1/tracks/40OyiVO9NtBg9R2Gpwxs3u,https://api.spotify.com/v1/audio-analysis/40OyiVO9NtBg9R2Gpwxs3u,audio_features,0.741,0.715,4.0,-5.206,0.0,0.034,0.0318,0.0,0.121,0.187,109.989,210973,4
904,GIDLE,I am,spotify:album:1GtPnOiHxCnoZPCiLcKj22,LATATA,2018-05-02,2ezKXygNO30pXyDQXkm6oD,spotify:track:2ezKXygNO30pXyDQXkm6oD,https://api.spotify.com/v1/tracks/2ezKXygNO30pXyDQXkm6oD,https://api.spotify.com/v1/audio-analysis/2ezKXygNO30pXyDQXkm6oD,audio_features,0.774,0.792,9.0,-4.019,0.0,0.224,0.00427,1.15e-06,0.283,0.505,98.1,202773,4
